Job Title,Company,Location
Interior Designer,Interior Designer,"Manbhawan, Lalitpur"
Accountant,Accountant,"Manbhawan, Lalitpur"
Procurement Officer,Procurement Officer,"Tripureshwor, Kathmandu"
Planning Engineer,Planning Engineer,Dolakha
CCA Teacher,CCA Teacher,"Hattigauda, Kathmandu"
Intern - Marketing and Administration,Intern - Marketing and Administration,"Bagbazar, Kathmandu"
Modern Trade Officer,Modern Trade Officer,Kathmandu
Account Executive,Account Executive,"Sumargi B. Complex, Madan Bhandari Marg, Kathmandu"
Sales Operations Executive,Sales Operations Executive,"Baluwatar, Kathmandu"
Trainee,Trainee,"Achham, Bajura, Banke, Dadeldhura, Kapilvastu and Pyuthan"
Junior Accountant,Junior Accountant,"Baluwatar, Kathmandu"
Sales and Marketing Officer,Sales and Marketing Officer,Pokhara Branch
Secondary Level Maths Teacher,Secondary Level Maths Teacher,"Budhanilkantha-03, Kathmandu"
Hydropower Engineer,Hydropower Engineer,Kathmandu
Business Manager,Business Manager,Kathmandu
Grade In-charge,Grade In-charge,"Bansbari, Kathmandu"
Business Research Officer,Business Research Officer,"Mid Baneshwor, Kathmandu"
Brand and Creative Specialist,Brand and Creative Specialist,"Chakupat, Lalitpur"
Science Teacher - Senior School,Science Teacher - Senior School,"Sanepa-2, Lalitpur"
Finance Assistant,Finance Assistant,"Panipokhari Height Lazimpat, Kathmandu"
Sales Representative,Sales Representative,"Koteshwor, Balkumari Gate, Kathmandu"
Marketing Officer,Marketing Officer,"New Baneshwor, Kathmandu"
Customer Sales Representative,Customer Sales Representative,"Bijulibazar Marg, Kathmandu"
Recruitment Operation Manager,Recruitment Operation Manager,Sinamangal
Customer Relationship Officer,Customer Relationship Officer,"Danchhi, Bagdhara Chowk, Kathmandu"
Accountant,Accountant,"Gongabu awasiya chetra , near NIC BANK"
IT and Social Media Assistant,IT and Social Media Assistant,"Gongabu awasiya chetra , near NIC BANK"
Account Officer,Account Officer,"Guheswori, Kathmandu"
Front Desk Assistant / Receptionist,Front Desk Assistant / Receptionist,"Mid Baneshwor, Kathmandu"
Officer-Buying and Merchandising,Officer-Buying and Merchandising,Baluwatar
Academic Coordinator,Academic Coordinator,"Sitapaila, Swoyambhu"
Grade Teacher,Grade Teacher,"Sitapaila, Swoyambhu"
Primary Teacher,Primary Teacher,"Sitapaila, Swoyambhu"
Sales Officer,Sales Officer,Kathmandu
Sales and Marketing Officer,Sales and Marketing Officer,"Tinkune, Kathmandu, Nepal"
SEO Specialist,SEO Specialist,"163 Dakshinamurti Marg,Pashupati-08, Kathmandu, Nepal"
Dispatch and Store Assistant,Dispatch and Store Assistant,"Lalupate Marg, Hattisar, Kathmandu"
Sales Officer,Sales Officer,Birtamode
Sales Officer,Sales Officer,Birgunj
Sales Officer,Sales Officer,Dumre
Sales Officer,Sales Officer,Gulmi
Logistic Manager,Logistic Manager,"Matatirtha Factory, Chandragiri Nagarpalika"
Storyboard Specialist,Storyboard Specialist,Remote
Architect,Architect,"Nardevi, Kathmandu"
Senior Accountant,Senior Accountant,"Kalimati-13, Kathmandu"
Senior AI/ML Software Engineer,Senior AI/ML Software Engineer,"Kusunti Heights, Lalitpur"
Ticketing Executive,Ticketing Executive,"Gyaneshwor-30, Kathmandu"
Loan Processing Associate,Loan Processing Associate,"Thapathali, Kathmandu"
Flutter Developer,Flutter Developer,Remote
High School Coordinator,High School Coordinator,"Kandaghari, Pepsicola"
